title,artist,genre,demo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
Masakali 2.0,Various Artists,[],https://p.scdn.co/mp3-preview/286eca96d1e0c19ac9f2fc1b8d360409c62ff0ba?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.772,0.748,10.0,-3.666,0.0,0.0444,0.0719,7.79e-06,0.0657,0.493,99.971,0LtuveFgRP4lkksywmCtxV,spotify:track:0LtuveFgRP4lkksywmCtxV,https://api.spotify.com/v1/tracks/0LtuveFgRP4lkksywmCtxV,https://api.spotify.com/v1/audio-analysis/0LtuveFgRP4lkksywmCtxV,172015.0,4.0
Sauda Khara Khara,Various Artists,[],https://p.scdn.co/mp3-preview/963351f6741010cee89c15ed89ff5cbb0ce39ed1?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.687,0.919,10.0,-3.28,1.0,0.0635,0.0939,4.38e-06,0.105,0.877,145.037,4LLvxxkWtt818FNO3cbsdo,spotify:track:4LLvxxkWtt818FNO3cbsdo,https://api.spotify.com/v1/tracks/4LLvxxkWtt818FNO3cbsdo,https://api.spotify.com/v1/audio-analysis/4LLvxxkWtt818FNO3cbsdo,211034.0,4.0
"Kudi Nu Nachne De (From ""Angrezi Medium"")",Vishal Dadlani,"['desi hip hop', 'desi pop', 'filmi', 'modern bollywood']",https://p.scdn.co/mp3-preview/1282607165365e78e89e3ba2f0cb6dbea8aec8b3?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.834,0.688,9.0,-7.494,1.0,0.0653,0.175,0.0,0.174,0.876,117.949,4YIhJmihoXwjtbY4vsV9Nh,spotify:track:4YIhJmihoXwjtbY4vsV9Nh,https://api.spotify.com/v1/tracks/4YIhJmihoXwjtbY4vsV9Nh,https://api.spotify.com/v1/audio-analysis/4YIhJmihoXwjtbY4vsV9Nh,172382.0,4.0
"Tera Yaar Hoon Main (From ""Sonu Ke Titu Ki Sweety"")",Arijit Singh,"['desi pop', 'filmi', 'modern bollywood']",https://p.scdn.co/mp3-preview/fb0dfe15c2b96502d3040c5db2e3ee4fe9c3b523?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.566,0.541,10.0,-5.525,1.0,0.0306,0.341,4.45e-06,0.102,0.31,83.939,1NX33DecZrq4ZUGDc47AfN,spotify:track:1NX33DecZrq4ZUGDc47AfN,https://api.spotify.com/v1/tracks/1NX33DecZrq4ZUGDc47AfN,https://api.spotify.com/v1/audio-analysis/1NX33DecZrq4ZUGDc47AfN,264806.0,4.0
"Hui Malang (From ""Malang - Unleash The Madness"")",Asees Kaur,"['desi pop', 'filmi', 'modern bollywood']",https://p.scdn.co/mp3-preview/aa7c39bb7e8e153e00155eadb9e7f687886f19ca?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.633,0.904,7.0,-5.09,0.0,0.0564,0.0337,4.31e-05,0.122,0.259,124.008,5bAed2aRbQbjDZF9qkNSA2,spotify:track:5bAed2aRbQbjDZF9qkNSA2,https://api.spotify.com/v1/tracks/5bAed2aRbQbjDZF9qkNSA2,https://api.spotify.com/v1/audio-analysis/5bAed2aRbQbjDZF9qkNSA2,192097.0,4.0
Kalank (Title Track),Pritam,"['desi pop', 'filmi', 'indian instrumental', 'modern bollywood']",https://p.scdn.co/mp3-preview/79322b0f0701a122d8df6f187fcc933b2b7d51bb?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.57,0.55,10.0,-8.343,1.0,0.035,0.524,3.73e-05,0.0921,0.435,117.999,6vo7Y1iWyZvpjvFbf6BiZ5,spotify:track:6vo7Y1iWyZvpjvFbf6BiZ5,https://api.spotify.com/v1/tracks/6vo7Y1iWyZvpjvFbf6BiZ5,https://api.spotify.com/v1/audio-analysis/6vo7Y1iWyZvpjvFbf6BiZ5,311186.0,4.0
"Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]",Mithoon,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",https://p.scdn.co/mp3-preview/8126be76559242043efce7b00f8f44347a573acb?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.285,0.238,5.0,-9.623,0.0,0.0375,0.663,9.23e-06,0.0793,0.213,179.918,2U0BLmYoSESYOdwMxW2yA9,spotify:track:2U0BLmYoSESYOdwMxW2yA9,https://api.spotify.com/v1/tracks/2U0BLmYoSESYOdwMxW2yA9,https://api.spotify.com/v1/audio-analysis/2U0BLmYoSESYOdwMxW2yA9,340672.0,4.0
Bhula Dunga,Darshan Raval,"['desi pop', 'gujarati pop', 'modern bollywood']",https://p.scdn.co/mp3-preview/95e9eb58766418fa017320ade6b194a6825c79df?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.521,0.583,0.0,-7.927,0.0,0.0399,0.692,6.32e-06,0.198,0.311,155.928,7pmY8QjqZP8GRV6qBRpheu,spotify:track:7pmY8QjqZP8GRV6qBRpheu,https://api.spotify.com/v1/tracks/7pmY8QjqZP8GRV6qBRpheu,https://api.spotify.com/v1/audio-analysis/7pmY8QjqZP8GRV6qBRpheu,197601.0,4.0
8 Parche,Baani Sandhu,"['desi pop', 'punjabi pop']",https://p.scdn.co/mp3-preview/a254742051fc19bf0c9d85431242f67b5adf1e48?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.652,0.862,8.0,-2.29,0.0,0.206,0.161,0.0,0.203,0.727,173.859,42ETKyApzUl8hTtytFAjen,spotify:track:42ETKyApzUl8hTtytFAjen,https://api.spotify.com/v1/tracks/42ETKyApzUl8hTtytFAjen,https://api.spotify.com/v1/audio-analysis/42ETKyApzUl8hTtytFAjen,210000.0,4.0
Ik Tera,Maninder Buttar,"['desi hip hop', 'desi pop', 'punjabi pop']",https://p.scdn.co/mp3-preview/a02e17afa151a5c5e38d554b64a078a697baea5c?cid=64f00e0d6c1b4a4f9c37e331d24323c6,0.826,0.712,11.0,-5.219,0.0,0.0727,0.095,0.0,0.105,0.49,93.029,57DhVYA7E1CyrE4OKuyLb7,spotify:track:57DhVYA7E1CyrE4OKuyLb7,https://api.spotify.com/v1/tracks/57DhVYA7E1CyrE4OKuyLb7,https://api.spotify.com/v1/audio-analysis/57DhVYA7E1CyrE4OKuyLb7,160768.0,4.0
